use,name,description,variableslink
,B10063,HOUSEHOLDS WITH GRANDPARENTS LIVING WITH OWN GRANDCHILDREN UNDER 18 YEARS BY RESPONSIBILITY FOR OWN GRANDCHILDREN AND PRESENCE OF PARENT OF GRANDCHILDREN,https://api.census.gov/data/2019/acs/acs5/groups/B10063.json
,B11001,HOUSEHOLD TYPE (INCLUDING LIVING ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001.json
,B11001A,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001A.json
,B11001B,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001B.json
,B11001C,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001C.json
,B11001D,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001D.json
,B11001E,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001E.json
,B11001F,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11001F.json
,B11001G,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B11001G.json
,B11001H,"HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B11001H.json
,B11001I,HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B11001I.json
,B11002,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B11002.json
,B11002A,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11002A.json
,B11002B,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11002B.json
,B11002C,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11002C.json
,B11002D,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11002D.json
,B11002E,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11002E.json
,B11002F,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B11002F.json
,B11002G,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B11002G.json
,B11002H,"HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B11002H.json
,B11002I,HOUSEHOLD TYPE BY RELATIVES AND NONRELATIVES FOR POPULATION IN HOUSEHOLDS (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B11002I.json
,B11003,FAMILY TYPE BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B11003.json
,B11004,FAMILY TYPE BY PRESENCE AND AGE OF RELATED CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B11004.json
,B11005,HOUSEHOLDS BY PRESENCE OF PEOPLE UNDER 18 YEARS BY HOUSEHOLD TYPE,https://api.census.gov/data/2019/acs/acs5/groups/B11005.json
,B11006,HOUSEHOLDS BY PRESENCE OF PEOPLE 60 YEARS AND OVER BY HOUSEHOLD TYPE,https://api.census.gov/data/2019/acs/acs5/groups/B11006.json
,B11007,"HOUSEHOLDS BY PRESENCE OF PEOPLE 65 YEARS AND OVER, HOUSEHOLD SIZE AND HOUSEHOLD TYPE",https://api.census.gov/data/2019/acs/acs5/groups/B11007.json
,B11008,COHABITING COUPLE HOUSEHOLDS BY PRESENCE AND AGE OF OWN CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B11008.json
,B11009,COUPLED HOUSEHOLDS BY TYPE,https://api.census.gov/data/2019/acs/acs5/groups/B11009.json
,B11010,NONFAMILY HOUSEHOLDS BY SEX OF HOUSEHOLDER BY LIVING ALONE BY AGE OF HOUSEHOLDER,https://api.census.gov/data/2019/acs/acs5/groups/B11010.json
,B11011,HOUSEHOLD TYPE BY UNITS IN STRUCTURE,https://api.census.gov/data/2019/acs/acs5/groups/B11011.json
y,B11012,HOUSEHOLDS BY TYPE,https://api.census.gov/data/2019/acs/acs5/groups/B11012.json
,B11013,SUBFAMILY TYPE BY PRESENCE OF OWN CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B11013.json
,B11014,POPULATION IN SUBFAMILIES BY SUBFAMILY TYPE BY RELATIONSHIP,https://api.census.gov/data/2019/acs/acs5/groups/B11014.json
,B11015,HOUSEHOLDS BY PRESENCE OF NONRELATIVES,https://api.census.gov/data/2019/acs/acs5/groups/B11015.json
,B11016,HOUSEHOLD TYPE BY HOUSEHOLD SIZE,https://api.census.gov/data/2019/acs/acs5/groups/B11016.json
,B11017,MULTIGENERATIONAL HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B11017.json
,B12001,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12001.json
,B12002,SEX BY MARITAL STATUS BY AGE FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12002.json
,B12002A,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12002A.json
,B12002B,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12002B.json
,B12002C,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12002C.json
,B12002D,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12002D.json
,B12002E,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12002E.json
,B12002F,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12002F.json
,B12002G,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B12002G.json
,B12002H,"SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B12002H.json
,B12002I,SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B12002I.json
,B12006,MARITAL STATUS BY SEX BY LABOR FORCE PARTICIPATION,https://api.census.gov/data/2019/acs/acs5/groups/B12006.json
,B12007,MEDIAN AGE AT FIRST MARRIAGE,https://api.census.gov/data/2019/acs/acs5/groups/B12007.json
,B12007A,MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12007A.json
,B12007B,MEDIAN AGE AT FIRST MARRIAGE (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12007B.json
,B12007C,MEDIAN AGE AT FIRST MARRIAGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12007C.json
,B12007D,MEDIAN AGE AT FIRST MARRIAGE (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12007D.json
,B12007E,MEDIAN AGE AT FIRST MARRIAGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12007E.json
,B12007F,MEDIAN AGE AT FIRST MARRIAGE (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B12007F.json
,B12007G,MEDIAN AGE AT FIRST MARRIAGE (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B12007G.json
,B12007H,"MEDIAN AGE AT FIRST MARRIAGE (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B12007H.json
,B12007I,MEDIAN AGE AT FIRST MARRIAGE (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B12007I.json
,B12501,MARRIAGES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12501.json
,B12502,MARRIAGES ENDING IN WIDOWHOOD IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12502.json
,B12503,DIVORCES IN THE LAST YEAR BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12503.json
,B12504,MEDIAN DURATION OF CURRENT MARRIAGE IN YEARS BY SEX BY MARITAL STATUS FOR THE MARRIED POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12504.json
,B12505,NUMBER OF TIMES MARRIED BY SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B12505.json
,B13002,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND AGE,https://api.census.gov/data/2019/acs/acs5/groups/B13002.json
,B13002A,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B13002A.json
,B13002B,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B13002B.json
,B13002C,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B13002C.json
,B13002D,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B13002D.json
,B13002E,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B13002E.json
,B13002F,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B13002F.json
,B13002G,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B13002G.json
,B13002H,"WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B13002H.json
,B13002I,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B13002I.json
,B13004,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY PRESENCE OF SPOUSE OR UNMARRIED PARTNER,https://api.census.gov/data/2019/acs/acs5/groups/B13004.json
,B13008,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND NATIVITY,https://api.census.gov/data/2019/acs/acs5/groups/B13008.json
,B13010,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND POVERTY STATUS IN THE PAST 12 MONTHS,https://api.census.gov/data/2019/acs/acs5/groups/B13010.json
,B13012,WOMEN 16 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND LABOR FORCE STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B13012.json
,B13014,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND EDUCATIONAL ATTAINMENT,https://api.census.gov/data/2019/acs/acs5/groups/B13014.json
,B13015,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS,https://api.census.gov/data/2019/acs/acs5/groups/B13015.json
,B13016,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B13016.json
,B14001,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B14001.json
,B14002,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B14002.json
,B14003,SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B14003.json
,B14004,SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B14004.json
,B14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B14005.json
,B14006,POVERTY STATUS IN THE PAST 12 MONTHS BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B14006.json
,B14007,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B14007.json
,B14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B14007A.json
,B14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B14007B.json
,B14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B14007C.json
,B14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B14007D.json
,B14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B14007E.json
,B14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B14007F.json
,B14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B14007G.json
,B14007H,"SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B14007H.json
,B14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B14007I.json
,B15001,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B15001.json
,B15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B15002.json
y,B15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B15003.json
,B15011,SEX BY AGE BY FIELD OF BACHELOR'S DEGREE FOR FIRST MAJOR FOR THE POPULATION 25 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B15011.json
,B15012,TOTAL FIELDS OF BACHELOR'S DEGREES REPORTED,https://api.census.gov/data/2019/acs/acs5/groups/B15012.json
,B16001,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16001.json
,B16003,AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER IN LIMITED ENGLISH SPEAKING HOUSEHOLDS,https://api.census.gov/data/2019/acs/acs5/groups/B16003.json
,B16004,AGE BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16004.json
,B16005,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16005.json
,B16005A,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B16005A.json
,B16005B,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B16005B.json
,B16005C,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B16005C.json
,B16005D,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B16005D.json
,B16005E,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B16005E.json
,B16005F,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B16005F.json
,B16005G,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B16005G.json
,B16005H,"NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B16005H.json
,B16005I,NATIVITY BY LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B16005I.json
,B16006,LANGUAGE SPOKEN AT HOME BY ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B16006.json
,B16007,AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16007.json
y,B16008,CITIZENSHIP STATUS BY AGE BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH FOR THE POPULATION 5 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16008.json
,B16009,POVERTY STATUS IN THE PAST 12 MONTHS BY AGE BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16009.json
,B16010,EDUCATIONAL ATTAINMENT AND EMPLOYMENT STATUS BY LANGUAGE SPOKEN AT HOME FOR THE POPULATION 25 YEARS AND OVER,https://api.census.gov/data/2019/acs/acs5/groups/B16010.json
,B17001,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B17001.json
,B17001A,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17001A.json
,B17001B,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (BLACK OR AFRICAN AMERICAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17001B.json
,B17001C,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17001C.json
,B17001D,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (ASIAN ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17001D.json
,B17001E,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17001E.json
,B17001F,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (SOME OTHER RACE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17001F.json
,B17001G,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (TWO OR MORE RACES),https://api.census.gov/data/2019/acs/acs5/groups/B17001G.json
,B17001H,"POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (WHITE ALONE, NOT HISPANIC OR LATINO)",https://api.census.gov/data/2019/acs/acs5/groups/B17001H.json
,B17001I,POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE (HISPANIC OR LATINO),https://api.census.gov/data/2019/acs/acs5/groups/B17001I.json
,B17003,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EDUCATIONAL ATTAINMENT,https://api.census.gov/data/2019/acs/acs5/groups/B17003.json
,B17004,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY WORK EXPERIENCE,https://api.census.gov/data/2019/acs/acs5/groups/B17004.json
,B17005,POVERTY STATUS IN THE PAST 12 MONTHS OF INDIVIDUALS BY SEX BY EMPLOYMENT STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B17005.json
,B17006,POVERTY STATUS IN THE PAST 12 MONTHS OF RELATED CHILDREN UNDER 18 YEARS BY FAMILY TYPE BY AGE OF RELATED CHILDREN UNDER 18 YEARS,https://api.census.gov/data/2019/acs/acs5/groups/B17006.json
,B17007,POVERTY STATUS IN THE PAST 12 MONTHS OF UNRELATED INDIVIDUALS 15 YEARS AND OVER BY SEX BY AGE,https://api.census.gov/data/2019/acs/acs5/groups/B17007.json
,B17008,AGGREGATE INCOME DEFICIT (DOLLARS) IN THE PAST 12 MONTHS OF UNRELATED INDIVIDUALS BY SEX,https://api.census.gov/data/2019/acs/acs5/groups/B17008.json
,B17009,POVERTY STATUS BY WORK EXPERIENCE OF UNRELATED INDIVIDUALS BY HOUSEHOLDER STATUS,https://api.census.gov/data/2019/acs/acs5/groups/B17009.json
,B17010,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN,https://api.census.gov/data/2019/acs/acs5/groups/B17010.json
,B17010A,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (WHITE ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B17010A.json
,B17010B,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (BLACK OR AFRICAN AMERICAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B17010B.json
,B17010C,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (AMERICAN INDIAN AND ALASKA NATIVE ALONE),https://api.census.gov/data/2019/acs/acs5/groups/B17010C.json
,B17010D,POVERTY STATUS IN THE PAST 12 MONTHS OF FAMILIES BY FAMILY TYPE BY PRESENCE OF RELATED CHILDREN UNDER 18 YEARS BY AGE OF RELATED CHILDREN (ASIAN ALONE HOUSEHOLDER),https://api.census.gov/data/2019/acs/acs5/groups/B17010D.json
